Date and Time,push_sanitizer,refill_sanitizer
"1 /1/2 2 , 4: 3:18 PM",1,
"1 /1/2 2 , 4: 3: 7 PM",,1
"1 /1/2 2 , 4: 3: 1 PM",,1
"1 /1/2 2 , 4: 2:52 PM",,1
"1 /1/2 2 , 4: 2:47 PM",1,
"1 /1/2 2 , 4: 2:47 PM",,1
"1 /1/2 2 , 4: 2:36 PM",1,
"1 /1/2 2 , 4: 2:26 PM",1,
"1 /1/2 2 , 4: 2:21 PM",1,
"1 /1/2 2 , 3:58:21 PM",1,
"1 /1/2 2 , 3:58: 5 PM",1,
"1 /1/2 2 , 3:57:   PM",,1
"1 /1/2 2 , 3:55:36 PM",1,
"1 /1/2 2 , 3:55:32 PM",1,
"1 /1/2 2 , 3:54:33 PM",1,
"1 /1/2 2 , 3:54:28 PM",1,
"1 /1/2 2 , 3:47:46 PM",1,
"1 /1/2 2 , 3:47:41 PM",1,
"1 /1/2 2 , 3:47:34 PM",1,
"1 /1/2 2 , 3:47:28 PM",1,
"1 /1/2 2 , 3:47:18 PM",1,
"1 /1/2 2 , 3:47:15 PM",1,
"1 /1/2 2 , 3:46:37 PM",1,
"1 /1/2 2 , 3:46:33 PM",1,
"1 /1/2 2 , 3:46:25 PM",1,
"1 /1/2 2 , 3:46: 9 PM",1,
"1 /1/2 2 , 3:46: 8 PM",1,
"1 /1/2 2 , 3:44:29 PM",,
"1 /1/2 2 , 3:44:21 PM",1,
"1 /1/2 2 , 3:44:16 PM",1,
"1 /1/2 2 , 3:44: 9 PM",1,
"1 /1/2 2 , 3:44: 5 PM",1,
"1 /1/2 2 , 3:41:1  PM",,
"1 /1/2 2 , 3:39: 7 PM",,
"1 /1/2 2 , 3: 6:24 PM",1,
"1 /1/2 2 , 3: 6:18 PM",1,
"1 /1/2 2 , 3: 5:19 PM",1,
"1 /1/2 2 , 3: 5:14 PM",1,
"1 /1/2 2 , 3: 4:59 PM",,1
"1 /1/2 2 , 3: 4:54 PM",,1
"1 /1/2 2 , 3: 4:4  PM",,1
"1 /1/2 2 , 3: 4:35 PM",,1
"1 /1/2 2 , 3: 4:24 PM",1,
"1 /1/2 2 , 3: 4:23 PM",1,
"1 /1/2 2 , 3: 4:13 PM",1,
"1 /1/2 2 , 3: 4: 8 PM",1,
"1 /1/2 2 , 3: 4: 3 PM",1,
"1 /1/2 2 , 3: 3:57 PM",1,
"1 /1/2 2 , 3: 3:38 PM",1,
"1 /1/2 2 , 3: 3:32 PM",1,
"1 /1/2 2 , 3:  :59 PM",,1
"1 /1/2 2 , 3:  :27 PM",,1
"1 /1/2 2 , 3:  :23 PM",,1
"1 /1/2 2 , 3:  :14 PM",,1
"1 /1/2 2 , 3:  : 9 PM",,1
"1 /1/2 2 , 3:  : 8 PM",,1
"1 /1/2 2 , 2:54:54 PM",1,
"1 /1/2 2 , 2:54:49 PM",1,
"1 /1/2 2 , 2:54:43 PM",1,
"1 /1/2 2 , 2:54:4  PM",1,
"1 /1/2 2 , 2:54:33 PM",1,
"1 /1/2 2 , 2:54:29 PM",1,
"1 /1/2 2 , 2:54: 4 PM",1,
"1 /1/2 2 , 2:53:57 PM",1,
"1 /1/2 2 , 2:53:52 PM",1,
"1 /1/2 2 , 2:53:47 PM",1,
"1 /1/2 2 , 2:53:36 PM",1,
"1 /1/2 2 , 2:53:33 PM",1,
"1 /1/2 2 , 2:51: 1 PM",1,
"1 /1/2 2 , 2:5 :56 PM",1,
"1 /1/2 2 , 2:5 : 9 PM",1,
"1 /1/2 2 , 2:5 : 4 PM",1,
"1 /1/2 2 , 2:49:51 PM",1,
"1 /1/2 2 , 2:49:46 PM",1,
"1 /1/2 2 , 2:48:45 PM",1,
"1 /1/2 2 , 2:48:4  PM",1,
"1 /1/2 2 , 2:45:26 PM",1,
"1 /1/2 2 , 2:45:21 PM",1,
"1 /1/2 2 , 2:45:14 PM",1,
